"account_name","money_spent","classification"
"Pacific Life",255319.18,"TOP"
"Mosaic",172180.04,"MID"
"CHS",163471.78,"MID"
"Core-Mark Holding",148105.93,"MID"
"Disney",129157.38,"MID"
"National Oilwell Varco",121873.16,"MID"
"Sears Holdings",114003.21,"MID"
"State Farm Insurance Cos.",111810.55,"MID"
"Fidelity National Financial",110027.29,"MID"
"BB&T Corp.",107300.05,"MID"
"Arrow Electronics",105426.87,"MID"
"United States Steel",104452.39,"MID"
"Walmart",102363.34,"MID"
"Jarden",100993.44,"MID"
"Target",99778.69,"LOW"
"SunTrust Banks",99125.76,"LOW"
"General Dynamics",98377.59,"LOW"
"State Street Corp.",96673.98,"LOW"
"Pfizer",95339.33,"LOW"
"Raytheon",94725.92,"LOW"
"Goodyear Tire & Rubber",90258.51,"LOW"
"Kohl's",90105.16,"LOW"
"D.R. Horton",89544.66,"LOW"
"Franklin Resources",86555.72,"LOW"
"Allstate",85842.14,"LOW"
"Bristol-Myers Squibb",85495.29,"LOW"
"Occidental Petroleum",85440.98,"LOW"
"IBM",85282.63,"LOW"
"Leucadia National",84784.63,"LOW"
"Western Digital",84481.77,"LOW"
"Archer Daniels Midland",84344.61,"LOW"
"Wells Fargo",83886.20,"LOW"
"Fluor",83287.31,"LOW"
"Emerson Electric",82527.79,"LOW"
"Amgen",82013.05,"LOW"
"Synnex",81722.47,"LOW"
"Caterpillar",81700.33,"LOW"
"PG&E Corp.",81697.27,"LOW"
"KKR",81222.69,"LOW"
"Duke Energy",80494.19,"LOW"
"Intel",79491.18,"LOW"
"HollyFrontier",79488.37,"LOW"
"Celgene",78164.23,"LOW"
"DISH Network",78105.13,"LOW"
"Lincoln National",77628.11,"LOW"
"Supervalu",77271.55,"LOW"
"Nationwide",76630.92,"LOW"
"CDW",76392.22,"LOW"
"Centene",76364.92,"LOW"
"Jacobs Engineering Group",75600.49,"LOW"
"Broadcom",75130.50,"LOW"
"Crown Holdings",75110.81,"LOW"
"Public Service Enterprise Group",73833.01,"LOW"
"Sysco",73636.55,"LOW"
"3M",70895.01,"LOW"
"Thermo Fisher Scientific",70615.95,"LOW"
"Prudential Financial",67868.76,"LOW"
"Hormel Foods",67706.16,"LOW"
"Avis Budget Group",67410.18,"LOW"
"Freddie Mac",66821.09,"LOW"
"Avnet",66812.24,"LOW"
"Molina Healthcare",66381.57,"LOW"
"AutoZone",65958.07,"LOW"
"EOG Resources",65894.28,"LOW"
"Ford Motor",65571.97,"LOW"
"Boeing",65091.39,"LOW"
"Dominion Resources",64604.00,"LOW"
"CarMax",64251.56,"LOW"
"Citigroup",63746.46,"LOW"
"Precision Castparts",63743.89,"LOW"
"Cognizant Technology Solutions",62504.05,"LOW"
"Phillips 66",62166.06,"LOW"
"Time Warner",61892.96,"LOW"
"Genuine Parts",61561.44,"LOW"
"Visa",61255.50,"LOW"
"Verizon",61216.36,"LOW"
"Aetna",60874.20,"LOW"
"Anadarko Petroleum",60608.48,"LOW"
"eBay",60091.69,"LOW"
"Kroger",59946.40,"LOW"
"NRG Energy",59727.21,"LOW"
"International Paper",59086.76,"LOW"
"Time Warner Cable",57130.53,"LOW"
"Eversource Energy",57059.76,"LOW"
"Discover Financial Services",57035.05,"LOW"
"Community Health Systems",56644.60,"LOW"
"Honeywell International",56479.14,"LOW"
"Toys 'R' Us",56179.21,"LOW"
"HP",56162.34,"LOW"
"United Technologies",55965.46,"LOW"
"J.P. Morgan Chase",55802.00,"LOW"
"Philip Morris International",52570.66,"LOW"
"Valero Energy",52020.60,"LOW"
"Freeport-McMoRan",49162.70,"LOW"
"Office Depot",49027.10,"LOW"
"Qualcomm",48862.43,"LOW"
"Entergy",48856.27,"LOW"
"BlackRock",48670.82,"LOW"
"Northrop Grumman",48578.16,"LOW"
"Texas Instruments",48529.08,"LOW"
"Paccar",47685.04,"LOW"
"Performance Food Group",47645.86,"LOW"
"USAA",46822.63,"LOW"
"Chevron",46725.41,"LOW"
"Nucor",46401.28,"LOW"
"First Data",45967.25,"LOW"
"Walgreens Boots Alliance",45276.27,"LOW"
"Aflac",45241.58,"LOW"
"Cisco Systems",45220.15,"LOW"
"Anthem",44875.42,"LOW"
"PayPal Holdings",44735.91,"LOW"
"CenturyLink",44535.04,"LOW"
"Alphabet",44407.22,"LOW"
"Land O'Lakes",44322.12,"LOW"
"Cigna",44318.37,"LOW"
"Merck",43631.17,"LOW"
"Marathon Petroleum",43431.35,"LOW"
"Lowe's",43292.28,"LOW"
"Progressive",43011.91,"LOW"
"Cameron International",42997.34,"LOW"
"Charter Communications",42773.23,"LOW"
"CST Brands",42674.22,"LOW"
"United Continental Holdings",42573.91,"LOW"
"PNC Financial Services Group",42237.28,"LOW"
"American Express",41864.13,"LOW"
"TJX",41712.71,"LOW"
"Global Partners",41690.40,"LOW"
"American Family Insurance Group",41540.98,"LOW"
"BorgWarner",41242.06,"LOW"
"Colgate-Palmolive",40818.88,"LOW"
"FedEx",40738.29,"LOW"
"NGL Energy Partners",40607.07,"LOW"
"Southwest Airlines",40539.45,"LOW"
"Farmers Insurance Exchange",39949.41,"LOW"
"Stanley Black & Decker",39805.61,"LOW"
"Kellogg",39586.71,"LOW"
"New York Life Insurance",39379.37,"LOW"
"Best Buy",39104.09,"LOW"
"Icahn Enterprises",38851.15,"LOW"
"Ameriprise Financial",38619.07,"LOW"
"Sempra Energy",38569.85,"LOW"
"GameStop",38469.65,"LOW"
"FirstEnergy",38215.53,"LOW"
"Thrivent Financial for Lutherans",38204.46,"LOW"
"Estee Lauder",38198.82,"LOW"
"Johnson Controls",37796.28,"LOW"
"Ally Financial",37653.96,"LOW"
"Ecolab",37527.67,"LOW"
"Mondelez International",37465.37,"LOW"
"ADP",37456.04,"LOW"
"Edison International",37010.95,"LOW"
"EMC",36982.12,"LOW"
"Omnicom Group",36801.71,"LOW"
"Republic Services",36695.68,"LOW"
"Reynolds American",36668.29,"LOW"
"Altria Group",36318.37,"LOW"
"Murphy USA",36294.27,"LOW"
"R.R. Donnelley & Sons",36218.43,"LOW"
"Becton Dickinson",35961.76,"LOW"
"CSX",35759.70,"LOW"
"Henry Schein",35487.34,"LOW"
"Cummins",34839.82,"LOW"
"Southern",34809.88,"LOW"
"News Corp.",34675.03,"LOW"
"Coca-Cola",34286.62,"LOW"
"DaVita HealthCare Partners",33982.78,"LOW"
"Viacom",33673.86,"LOW"
"Monsanto",33253.29,"LOW"
"AutoNation",33196.76,"LOW"
"Tenet Healthcare",33028.08,"LOW"
"Humana",32937.93,"LOW"
"Halliburton",32645.38,"LOW"
"American Electric Power",32044.55,"LOW"
"Enterprise Products Partners",31971.72,"LOW"
"HD Supply Holdings",31899.58,"LOW"
"Nordstrom",31273.02,"LOW"
"Oracle",31231.56,"LOW"
"Costco",30741.01,"LOW"
"Group 1 Automotive",30708.92,"LOW"
"PepsiCo",30095.72,"LOW"
"American Airlines Group",30083.18,"LOW"
"Kimberly-Clark",29151.21,"LOW"
"Amazon.com",28678.06,"LOW"
"Yum Brands",28296.53,"LOW"
"Health Net",27733.33,"LOW"
"US Foods Holding",27074.63,"LOW"
"Dean Foods",26514.93,"LOW"
"Penske Automotive Group",26485.87,"LOW"
"Textron",26339.70,"LOW"
"Campbell Soup",25765.95,"LOW"
"Kraft Heinz",25765.17,"LOW"
"Ingram Micro",25198.55,"LOW"
"Union Pacific",25107.81,"LOW"
"Ross Stores",24961.87,"LOW"
"CVS Health",23667.51,"LOW"
"Facebook",23522.79,"LOW"
"Procter & Gamble",22961.03,"LOW"
"Unum Group",22734.13,"LOW"
"Baxter International",22681.17,"LOW"
"Navistar International",22484.81,"LOW"
"L-3 Communications",22266.77,"LOW"
"Norfolk Southern",22100.01,"LOW"
"PPG Industries",21960.88,"LOW"
"UnitedHealth Group",21937.08,"LOW"
"Aramark",21692.01,"LOW"
"Morgan Stanley",20277.57,"LOW"
"Hartford Financial Services Group",20257.43,"LOW"
"Whole Foods Market",20240.66,"LOW"
"Peter Kiewit Sons'",20232.97,"LOW"
"Huntsman",20092.35,"LOW"
"Xcel Energy",19975.91,"LOW"
"Masco",19963.61,"LOW"
"Alcoa",19882.16,"LOW"
"Energy Transfer Equity",19539.86,"LOW"
"Biogen",19386.53,"LOW"
"Tech Data",19218.88,"LOW"
"AT&T",19191.14,"LOW"
"ConAgra Foods",19142.48,"LOW"
"Computer Sciences",19092.14,"LOW"
"Express Scripts Holding",19090.45,"LOW"
"Praxair",19023.36,"LOW"
"Hilton Worldwide Holdings",18745.86,"LOW"
"AECOM",18491.51,"LOW"
"VF",18251.39,"LOW"
"Johnson & Johnson",18242.74,"LOW"
"Tyson Foods",18088.57,"LOW"
"Exelon",18081.58,"LOW"
"Travelers Cos.",17808.16,"LOW"
"L Brands",17439.25,"LOW"
"MGM Resorts International",16976.76,"LOW"
"Liberty Mutual Insurance Group",16923.55,"LOW"
"Gap",16791.91,"LOW"
"Univar",16626.60,"LOW"
"Eastman Chemical",16303.42,"LOW"
"Marsh & McLennan",16257.21,"LOW"
"DuPont",15862.76,"LOW"
"Voya Financial",15782.23,"LOW"
"Staples",15716.26,"LOW"
"ConocoPhillips",15578.40,"LOW"
"Microsoft",15454.01,"LOW"
"McKesson",15184.46,"LOW"
"Principal Financial",15177.80,"LOW"
"Starbucks",14875.19,"LOW"
"SpartanNash",14629.16,"LOW"
"Tesoro",14482.60,"LOW"
"Owens & Minor",13507.23,"LOW"
"WestRock",13282.42,"LOW"
"AES",13038.64,"LOW"
